song name
Dil Chahte Ho
Kya Baat Aa
Dynamite
Baarish
Yes Or No
Midnight Sky
Shukriya (Rendition)
Diamond Da Challa
WAP (feat. Megan Thee Stallion)
Dil Ko Maine Di Kasam
 Hindi Top 50 
 Punjabi Top 50 
 International Top 50 
 Trending Songs - Hindi 
 New Releases Hot 50 Punjabi 
 New Releases Hot 40 International 
Kabir Singh
 New Releases Hot 50 - Hindi 
 Today's Top 5 Punjabi 
 Today's Top 5 International 
 New Indie Pop Hot 50 
Sadak 2 (Original Motion Picture Soundtrack)
Trace
Laugh Now Cry Later
Dil Chahte Ho
Company
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix]
Bebaakee
Soon
Veere Di Wedding
Shape of You
Luka Chuppi
Jaani Ve
Encore
Sonu Ke Titu Ki Sweety
ONE (Original Never Ends)
Purpose (Deluxe)
Loveyatri - A Journey Of Love
Filhall
Despacito (Remix)
Street Dancer 3D
Lehanga
Taki Taki
Satyameva Jayate
Age 19
Midnight Sky
Dada Pita Bidi
Best of Rahat Fateh Ali Khan
Best of Sidhu Moosewala
Best of Calvin Harris
Best of Kishore Kumar
Best of Guru Randhawa
Best of Coldplay
Best of Arijit Singh
Best of Jasmine Sandlas
Best of Justin Bieber
Best of Shreya Ghoshal
Tujhe Kitna Chahne Lage
Señorita
Simmba
Kya Baat Ay
Evolve
Ae Dil Hai Mushkil (Original Motion Picture Soundtrack)
Sikander 2
Cheap Thrills
Half Girlfriend
Lahore
Closer
Badrinath Ki Dulhania
Sakhiyaan
Bekhayali
Pal
Photo
Pachtaoge
Duniyaa
Aankh Marey
Vaaste
Coca Cola
O Saki Saki
On My Way
Tiger Zinda Hai
High Rated Gabru
Girls Like You
Marjaavaan
Ishare Tere
Attention
Gully Boy
Dil Diyan Gallan
÷ (Deluxe)
Raabta
