title,price
"Asus P1440FA-FQ1546 Laptop (Intel Core i3 10th Gen 10110U @2.1GHz Processor / 4GB DDR4 Ram / 1TB HDD / 14"" HD Screen / OS Endless / 1.7kgs/ Star Grey / No ODD) Without Optical Drive","32,850"
Innova Mini Handy 7series Mustache & Beard Trimmer (Blue),429
Realme 6 6 GB 64 GB Comet Blue,"16,790"
Seagate Backup Plus Ultra Touch Portable 2 TB USB 3.0 External HDD - Black,"5,799"
Vivo Y15 4GB 64GB Aqua Blue,"12,990"
"Syska HT200K Multi-Function Trimmer For Men ( Gold , Rechargeable Battery )","1,625"
JBL C50HI In-Ear Wired Headphone ( Blue ),499
Bovty K1 In-Ear Bluetooth Headset ( Black ),149
"Lenovo IdeaPad Slim 3i (Intel Core i5 - 10th Gen/ 8 GB RAM/ 1 TB HDD/ 39.62 cm (15.6 inch)/ Windows 10) 81WB00ANIN (Platinum Grey , 1.7 kg)","52,990"
Kingston DT50/16GBIN 16 GB USB 3.0 Pendrive ( Grey ),419
"Philips QT3310/15 Mustache & Beard Trimmer For Men ( Black , Rechargeable Battery )","1,386"
"Microsoft Surface Pro 6 ( Core i5-8th Gen/8 GB/128 GB SSD/Windows 10/12.3 inch PixelSense) 1796 Convertible Laptop (Platinum, 0.77 kg)","82,990"
Samsung Galaxy M11 4 GB 64 GB Black,"12,999"
Kingston 32 GB USB 3.1 Pendrive ( Black & Silver ),459
Redmi 8 4GB 64GB Blue,"10,900"
Kubra KB-1045 Unisex USB Rechargeable Mustache & Beard Trimmer (Blue),399
IMMUTABLE Wireless Bluetooth Earphone Stereo Mini Twin Portable IM260435 True Wireless Bluetooth Headset ( Assorted ),299
PICKMALL 449 In-Ear Wired Headphone ( White ),149
"HP 15s du2040tu  (Intel Core i5- 10th Gen/ 8 GB/ 1 TB HDD/ 39.62 cm (15.6 inch)/ Windows 10) (Natural Silver , 2.17 kg)","59,990"
SanDisk 16GB Ultra microSDHC (microSD) Memory Card U1 98MB/s A1,349
Kubra KB-1045 Unisex USB Rechargeable Mustache & Beard Trimmer (White),399
"Microsoft Surface Pro 7 M1866 31.24 cm (12.3 inch) Laptop (10th Gen Intel Core i3/4GB/128GB SSD/Windows 10 Home/Intel UHD Graphics), Platinum  Without Keyboard","74,999"
OPPO A5 2020 4GB 64GB Dazzling White,"13,990"
Samsung 64 GB evo plus 100 mbps MicroSDXC Memory Card Class 10 with (SD Adapter) (MB-MC64GA),849
Realme C11  2 GB 32 GB Rich Grey,"8,680"
Skycandle Sweet-2 Nose & ear trimmer For Unisex ( White ),279
Philips SHE1505BK In-Ear Wired Headphone ( Black ),320
IMMUTABLE Earphone HBS Wireless Bluetooth Sports Earbud IM260431 In-Ear Bluetooth Headset ( Assorted ),299
"Microsoft Surface Pro X (ARM 610/ 8 GB/ 128 GB SSD/ 33.02 cm (13 inch)/ Windows 10) 1876 (Matte Black , 0.77 kg)","1,03,999"
Capnicks 64 GB USB 2.0 Pendrive ( Silver ),699
Nova Nhs800/00/nhp Hair Straightener ( Pink & Black ),899
"Lenovo Ideapad S145 Laptop (AMD A6 9225, 4GB RAM, 1TB HDD, 15.6"" HD AG Display, No ODD, Windows 10, 2.1 kg, Grey) - 81N30063IN","27,190"
Vivo V19 8 GB 128 GB Piano Black,"24,990"
Seagate Expansion 1 TB USB 3.0 External HDD - Black,"3,999"
OPPO A52 6 GB 128 GB Twilight Black,"16,990"
Innova All In One Micro Touch Max Personal Nose Ear Hair Eyebrow Trimmer With Led Light For Men And Women,269
Bovty M-9 In-Ear Bluetooth Headset ( Black ),169
Skytop In-Ear Wired Headphone ( White ),124
Apple MacBook Pro with Touch Bar (Intel Core i7-9th Gen/16 GB/512 GB/40.64 cm (16 inch)/Mac OS) MVVJ2HN/A (Grey  2 kg),"1,89,900"
Transcend 2 TB USB 3.0 External HDD - Grey,"7,199"
Monk Tec MT-1046 Rechargeable Cordless Beard Trimmer for Men (Black),399
Microsoft Surface Pro 7   31.24 cm (12.3 inch) Touch-Screen - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)   Platinum Without Keyboard,"92,499"
Redmi Note 9 Pro Max 6GB 64GB Glacier White,"18,997"
Strontium Nitro A1 64GB Micro SDXC Memory Card 100MB/s A1 UHS-I U3 Class 10 with High Speed Adapter for Smartphones Tablets Drones Action Cams (SRN64GTFU3A1A),699
Samsung Galaxy M11 3 GB 32 GB Metallic Blue,"10,999"
Kubra KB-1045 Unisex USB Rechargeable Mustache & Beard Trimmer (Red),399
Portronics CONCH BETA POR-678 In-Ear Wired Headphone ( White ),299
GadgetX GADGETX-BTSMALL-GX3 In-Ear Bluetooth Headset ( Multi ),189
Acer Aspire 3 A315-56-323J 15.6-inch Laptop (Intel Core i3-1005G1/4GB/1TB HDD/Window 10  Home  64Bit/Intel UHD Graphics)  NX.HS5SI.006 Black,"35,490"
Toshiba M203 32 GB MicroSD Card Class 10 100 MB/s Memory Card,489
"Philips BRT382/15 Multi-Function Trimmer For Women ( Pink & White , AA Battery )","1,945"
"HP 15 Core i5 9th Gen 8 GB 1 TB HDD + 256 GB SSD 39.62 cm (15.6) Windows 10 15-dk0045tx (Black, 2.25Kg)","74,500"
LG W10 ALPHA 3 GB 32 GB Black,"8,199"
SanDisk Ultra 16 GB USB 3.0 Pendrive ( Black ),399
Redmi Note 9 Pro Max 6GB 128GB Interstellar Black,"20,695"
Bazaartrick -1400 Mustache & Beard Trimmer For Unisex (Red),"1,150"
Pickadda Magnet In-Ear Bluetooth Headset ( Assorted ),175
Kboom KBHF (Pack of 2) In-Ear Wired Headphone ( Assorted ),179
"HP 250 G7 (Intel Core i5/10th Gen/8 GB DDR4 /1 TB HDD /39.6 cm (15.6 inch) /Windows 10) 1S5F9PA (Grey, 1.49 Kg)","54,199"
WD 2 TB USB 3.0 External HDD - Black,"5,429"
Innova Profesional Titanium Blade  Hair Clipper (Black),699
"Asus Vivobook EJ158T Laptop (Intel Core i3-10th Gen 10110U @2.1GHz /4GB DDR4 Ram /1TB HDD /15.6"" FHD /Windows 10 Home /1.99kgs /Slate Grey /No ODD) Without Optical Drive","38,990"
Nokia 105 Dual Sim Black,"1,420"
WD My Passport 1 TB USB 3.0 External HDD - Blue,"3,849"
Realme C2 2 GB 32 GB Diamond Blue,"7,850"
Philips Qp2525/10 Mustache & beard trimmer For Men ( Black & Green ),"2,075"
MS TRADING COMPANY MI2 In-Ear Wired Headphone ( White ),106
BTK Trade In-Ear Bluetooth Headset ( White ),385
Asus X441UA-GA597 Laptop (Intel Core i3 8th Gen 8130U @2.2GHz Processor/ 4GB DDR4 Ram/ 1TB HDD/ 14 inch HD/ Dos/ 1.8kgs/ Black) Without Optical Drive,"30,890"
Kingston 32 GB USB 3.0 Pendrive ( Multi ),459
SYSKA HT1309 Mustache & Beard Trimmer Men Black;Grey,"1,049"
"Lenovo X1 Yoga (Intel Core i7 10th Gen /16 GB /512 GB SSD /35.56 cm (14 inch) /Windows 10) 20SAS01Q00 (Iron Grey, 1.36 kg)","2,00,090"
Samsung Galaxy A80 8 GB 128 GB Black,"29,990"
HP V236W 32 GB USB 2.0 Pendrive ( Silver ),485
Vivo Y30 4 GB 128 GB Dazzle Blue,"14,990"
Innova Portable Size Painless Electric Lipstic Hair Remover/Trimmer Women,279
Rockpapa QC10 In-Ear Bluetooth Headset ( Assorted ),189
Monk Tech SANSUNG-YS In-Ear Wired Headphone ( Assorted ),119
"DELL Inspiron 5593 (Intel Core i5-1035G1(10th Gen)/8 GB/1 TB HDD + 256 GB SSD/39.62 cm (15.6 inch)/Window 10 + Microsoft Office/2 GB NVidia MX 230 Graphics) (Silver, 2.02)","73,750"
Strontium 8 GB MicroSDHC Class 6 Memory Card (SR8GTFC6R),285
Perfect Nova PN-522 Cordless  Trimmer For Men (Black),599
"HP 14S-CF3046TU Laptop (Intel Core i3-10th Gen 1005G1 @1.2GHz / 4 GB DDR4 RAM / 1TB HDD / 14"" HD Screen / Windows 10 Home + MS Office Home & Student / 1.6Kgs / No ODD) Without Optical Drive","40,900"
OPPO Reno4 Pro 8 GB 128 GB Silky White,"34,990"
Toshiba M203 16 GB MicroSD Card Class 10 100 MB/s Memory Card,339
OPPO F15 8GB 128GB Lightening Black,"18,990"
Syska HT1309 Hair and Beard Trimmer For Men (Black/Blue),"1,010"
Monk Tech AKG89 In-Ear Wired Headphone ( Assorted ),129
G GAPFILL In-Ear Bluetooth Headset ( Black ),319
"DELL Inspiron 3593 (Intel Core i5-1035G1(10th Gen)/8 GB/1 TB HDD + 256 GB SSD/39.62 cm (15.6 inch)/Windows 10/2 GB NVIDIA MX 230 Graphics) (Platinum Silver, 2.2 kg)","66,990"
Seagate Backup Plus Ultra Touch Portable 1 TB USB 3.0 External HDD - Silver,"4,299"
Syska HT3050-UltraGroom Corded & Cordless Trimmer for Men,"1,599"
"Lenovo Legion Y540(8 GB DDR4 /1 TB SSD /39.62 cm (15.6 inch) /Windows 10)81SX00G8IN (Black, 2.3 kg)","1,03,890"
Vivo Y50 8 GB 128 GB Pearl White,"17,990"
WD My Passport New Edition 1 TB USB 3.0 External HDD - Black,"3,999"
Samsung Galaxy A21s 4 GB 64 GB Black,"14,999"
Perfect Nova PNHT-216 Professional Hair Runtime: 45 Trimmer for Men (Black),429
ONE94STORE In-Ear Wired Headphone ( Black ),129
Philips SHE1405 In-Ear Wired Headphone ( Black ),379
"Dell Inspiron 7490 (Intel Core i7- 10th Gen/ 16 GB/ 512 GB SSD/ 35.56 cm (14 inch)/ Windows 10) (Silver , 2.17 kg)","1,04,999"
Sony 64 GB USB 3.0 Pendrive ( Black ),945
Heavy Duty 4 In 1 Washable Rechargeable Electric Professional Beard Trimmer,"1,372"
DELL Inspiron 3593 15.6-inch Laptop (10th Gen Ci5-1035G1/8GB/1TB HDD + 256GB SSD/Windows 10/2GB NVIDIA MX 230 Graphics)  Platinum Silver,"68,300"
Apple iPhone 7 32 GB Silver,"31,500"
SanDisk Ultra Dual Type C OTG 32 GB USB 3.1 Pendrive ( Black & Silver ),679
Realme 5i 4 GB 64 GB Forest Green,"11,999"
"Philips BG1025/15 Multi-Function Trimmer For Men ( Black , AA Battery )","1,350"
SHOPLINE In-Ear Bluetooth Headset ( Assorted ),189
SHOPLINE S650 Mono Bluetooth Headset ( Black ),199
Acer Aspire 3 A315-56-51UL 15.6-inch Laptop (Intel Core i5-1035G1/8GB/1TB HDD/Window 10  Home  64Bit/Intel UHD Graphics)  NX.HS5SI.003 Black,"45,490"
Ridata Micro SDHC Card 16GB Class 10 U1 With Adapter,449
Kubra KB-113 Hair Dryer ( Black ),349
