Mobile Name,Price
"Mi A2 (Lake Blue, 128 GB)","11,999"
"Redmi K20 (Flame Red, 128 GB)","21,999"
"Redmi K20 (Glacier Blue, 64 GB)","21,999"
"Redmi Go (Black, 8 GB)","4,499"
"Redmi 3S Prime (Dark Grey, 32 GB)","8,999"
"Redmi 7 (Lunar Red, 32 GB)","7,500"
"Redmi 7A (Matte Blue, 16 GB)","6,499"
"Redmi Note 7S (Onyx Black, 32 GB)","9,999"
"Redmi Note 7S (Onyx Black, 64 GB)","11,999"
"Redmi 6 Pro (Rose Gold, 32 GB)","8,457"
"Redmi Note 5 (Rose Gold, 32 GB)","10,999"
"Redmi 8A (Ocean Blue, 32 GB)","7,499"
"Redmi 6A (Blue, 16 GB)","5,990"
"Redmi Y3 (Elegant Blue, 32 GB)","11,999"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","17,499"
"Redmi Note 9 (Aqua Green, 64 GB)","14,984"
"Redmi Note 9 (Arctic White, 128 GB)","15,418"
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","22,979"
"Redmi Note 5 Pro (Black, 64 GB)","13,999"
"Redmi 5A (Gold, 16 GB)","7,299"
"Redmi Note 5 (Black, 64 GB)","12,499"
"Redmi 6 Pro (Gold, 32 GB)","11,299"
"Redmi Note 5 (Blue, 64 GB)","12,499"
"Redmi Note 6 Pro (Blue, 64 GB)","13,837"
"Mi 10 (Coral Green, 128 GB)","47,470"
"Mi A3 (Not just Blue, 128 GB)","17,147"
"Redmi Note 4 (Dark Grey, 64 GB)","11,000"
"Redmi 6 Pro (Black, 64 GB)","11,450"
"Redmi Note 4 (Lake Blue, 64 GB)","11,250"
"Redmi 6 Pro (Red, 32 GB)","11,299"
"Redmi Note 5 (Gold, 32 GB)","10,999"
"Mi 10 (Twilight Grey, 256 GB)","54,999"
"Redmi 6 Pro (Red, 64 GB)","13,499"
"Mi 10 (Twilight Grey, 128 GB)","47,999"
"Redmi 6A (Blue, 16 GB)","5,990"
"Redmi 8A (Midnight Black, 32 GB)","6,999"
"Redmi 3S Prime (Silver, 32 GB)","8,999"
"Redmi Go (Blue, 16 GB)","4,999"
"Redmi 3S Prime (Gold, 32 GB)","8,999"
"Redmi 6A (Blue, 32 GB)","6,450"
"Redmi Y2 (Rose Gold, 64 GB)","8,499"
"Redmi K20 (Flame Red, 64 GB)","21,999"
"Redmi Note 8 (Moonlight White, 32 GB)","10,985"
"Redmi Note 4 (Black, 32 GB)","10,999"
"Redmi Note 5 Pro (Blue, 64 GB)","13,999"
"Redmi 6 (Rose Gold, 32 GB)","7,999"
"Redmi K20 Pro (Pearl White, 256 GB)","29,999"
"Redmi 6A (Rose Gold, 32 GB)","5,742"
"Redmi Y1 (Rose Gold, 32 GB)","8,699"
"Redmi 7A (Matte Blue, 32 GB)","6,699"
"Redmi 6A (Gold, 32 GB)","5,742"
"Redmi 8A (Sunset Red, 32 GB)","6,999"
"Redmi Note 8 (Space Black, 32 GB)","10,595"
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","12,999"
"Redmi 7 (Eclipse Black, 32 GB)","7,078"
"Redmi Note 5 Pro (Red, 64 GB)","12,999"
"Redmi 7A (Matte Black, 16 GB)","6,499"
"Redmi 7A (Matte Gold, 16 GB)","6,499"
"Redmi 9 Prime (MintGreen, 64 GB)","11,999"
"Redmi 9 Prime (Space Blue, 64 GB)","11,999"
"Redmi 9 Prime (MatteBlack, 128 GB)","13,999"
"Redmi 9 Prime (MintGreen, 128 GB)","13,999"
"Redmi 9 Prime (Space Blue, 128 GB)","13,999"
"Redmi 9 Prime (SunriseFlare, 64 GB)","11,999"
