Mobile Name,Price
"Realme 6 Pro (Lightning Red, 128 GB)","19,999"
"Realme 3 Pro (Carbon Grey, 64 GB)","13,999"
"Realme X2 (Pearl White, 64 GB)","17,999"
"Realme 6 (Comet White, 128 GB)","15,999"
"Realme C15 (Power Silver, 32 GB)","9,999"
"Realme C15 (Power Blue, 32 GB)","9,999"
"Realme X (Super Polar White, 128 GB)","21,999"
"Realme X3 SuperZoom (Arctic White, 256 GB)","32,999"
"Realme X3 SuperZoom (Glacier Blue, 256 GB)","32,999"
"Realme X3 SuperZoom (Arctic White, 128 GB)","27,999"
"Realme X50 Pro 5G (Rust Red, 256 GB)","47,999"
"Realme X (Polar White, 128 GB)","20,999"
"Realme X3 SuperZoom (Glacier Blue, 128 GB)","27,999"
"Realme 6 Pro (Lightning Orange, 128 GB)","19,999"
"Realme XT (Pearl Blue, 64 GB)","16,999"
"Realme XT (Pearl White, 64 GB)","16,999"
"Realme 2 Pro (Black Sea, 128 GB)","15,490"
"Realme X50 Pro (Rust Red, 128 GB)","41,999"
"Realme C2 (Diamond Blue, 16 GB)","6,499"
"Realme 6 Pro (Lightning Red, 64 GB)","17,999"
"Realme X50 Pro (Moss Green, 256 GB)","47,999"
"Realme X50 Pro (Moss Green, 128 GB)","41,999"
"Realme 2 Pro (Ice Lake, 64 GB)","16,990"
"Realme X (Polar White, 128 GB)","17,999"
"Realme XT (Pearl Blue, 128 GB)","19,999"
"Realme XT (Pearl White, 64 GB)","17,999"
"Realme XT (Pearl White, 128 GB)","19,999"
"Realme 2 Pro (Blue Ocean, 128 GB)","15,490"
"Realme U1 (Brave Blue, 64 GB)","8,999"
"Realme XT (Pearl Blue, 64 GB)","17,999"
"Realme 2 (Diamond Blue, 32 GB)","9,990"
"Realme C1 (Mirror Black, 32 GB)","7,499"
"Realme C1 (Navy Blue, 32 GB)","7,499"
"Realme 2 (Diamond Red, 64 GB)","11,990"
"Realme C1 (Mirror Black, 32 GB)","8,499"
"Realme 2 (Diamond Blue, 64 GB)","11,990"
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490"
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490"
"Realme 2 Pro (Black Sea, 64 GB)","13,990"
"Realme 2 Pro (Black Sea, 64 GB)","11,490"
"Realme 2 (Diamond Red, 32 GB)","9,990"
"Realme C1 (Navy Blue, 16 GB)","6,999"
"Realme X (Onion, 128 GB)","20,999"
"Realme C1 (Navy Blue, 32 GB)","8,499"
"Realme U1 (Brave Blue, 64 GB)","9,999"
"Realme U1 (Ambitious Black, 64 GB)","9,895"
"Realme U1 (Fiery Gold, 64 GB)","10,799"
"Realme X50 Pro (Moss Green, 128 GB)","39,999"
"Realme X50 Pro (Rust Red, 128 GB)","39,999"
"Realme U1 (Brave Blue, 32 GB)","8,790"
"Realme 2 (Diamond Black, 64 GB)","11,990"
"Realme C1 (Mirror Black, 16 GB)","6,999"
"Realme 2 Pro (Ice Lake, 64 GB)","11,490"
"Realme 2 (Diamond Black, 32 GB)","9,990"
"Realme U1 (Ambitious Black, 32 GB)","8,285"
"Realme U1 (Fiery Gold, 32 GB)","8,490"
