Mobile Name,Price
"Redmi Note 7S (Sapphire Blue, 32 GB)","9,999"
"Redmi 5A (Rose Gold, 16 GB)","5,999"
"Mi A2 (Gold, 64 GB)","10,599"
"Redmi 7 (Lunar Red, 32 GB)","7,089"
"Redmi K20 (Flame Red, 128 GB)","21,999"
"Redmi Y2 (Blue, 64 GB)","8,499"
"Redmi 8A (Ocean Blue, 32 GB)","6,999"
"Mi A2 (Lake Blue, 128 GB)","11,999"
"Redmi Go (Blue, 16 GB)","4,999"
"Redmi Go (Black, 8 GB)","4,499"
"Redmi Note 5 (Rose Gold, 32 GB)","10,999"
"Redmi 3S Prime (Dark Grey, 32 GB)","8,999"
"Redmi 6A (Blue, 16 GB)","5,990"
"Redmi 7 (Lunar Red, 32 GB)","7,500"
"Redmi 7A (Matte Blue, 16 GB)","6,499"
"Redmi 6 Pro (Rose Gold, 32 GB)","8,457"
"Redmi Note 7S (Onyx Black, 64 GB)","11,999"
"Redmi 6A (Black, 32 GB)","7,989"
"Redmi Note 7 Pro (Space Black, 128 GB)","16,999"
"Redmi Note 9 (Aqua Green, 64 GB)","14,899"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi Note 9 (Arctic White, 128 GB)","15,490"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","17,499"
"Mi Mix 2 (Black, 128 GB)","14,999"
"Redmi Note 5 Pro (Black, 64 GB)","13,999"
"Redmi Note 5 (Black, 64 GB)","12,499"
"Redmi 5A (Gold, 16 GB)","7,299"
"Redmi Note 6 Pro (Black, 64 GB)","16,990"
"Redmi Note 5 (Blue, 64 GB)","12,499"
"Mi 10 (Coral Green, 128 GB)","47,500"
"Redmi Note 7 (Sapphire Blue, 32 GB)","12,990"
"Redmi Y2 (Gold, 64 GB)","13,387"
"Redmi Note 6 Pro (Black, 64 GB)","12,987"
"Mi 10 (Twilight Grey, 256 GB)","54,999"
"Redmi Note 5 (Gold, 32 GB)","10,999"
"Redmi K20 (Glacier Blue, 64 GB)","21,999"
"Redmi 6 Pro (Red, 64 GB)","13,499"
"Mi 10 (Twilight Grey, 128 GB)","48,490"
"Redmi 6A (Blue, 32 GB)","6,450"
"Redmi Go (Blue, 16 GB)","4,999"
"Redmi 8A (Ocean Blue, 32 GB)","7,499"
"Redmi 3S Prime (Gold, 32 GB)","8,999"
"Redmi 7A (Matte Blue, 32 GB)","6,699"
"Redmi K20 (Flame Red, 64 GB)","21,999"
"Redmi Note 8 (Moonlight White, 32 GB)","10,985"
"Redmi Note 4 (Black, 32 GB)","10,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi Note 5 Pro (Blue, 64 GB)","13,999"
"Redmi 6 (Rose Gold, 32 GB)","7,999"
"Redmi Y2 (Rose Gold, 64 GB)","8,499"
"Redmi 6A (Rose Gold, 32 GB)","5,742"
"Redmi K20 Pro (Pearl White, 256 GB)","29,999"
"Redmi 7 (Eclipse Black, 32 GB)","7,078"
"Redmi 6A (Gold, 32 GB)","5,742"
"Redmi 8A (Sunset Red, 32 GB)","6,999"
"Redmi Note 8 (Space Black, 32 GB)","10,595"
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","12,999"
"Redmi Note 5 Pro (Red, 64 GB)","12,999"
"Redmi 7A (Matte Gold, 16 GB)","6,499"
"Redmi 7A (Matte Black, 16 GB)","6,499"
"Redmi Y3 (Bold Red, 64 GB)","10,465"
"Redmi 7A (Matte Black, 32 GB)","6,699"
"Redmi Go (Black, 16 GB)","4,999"
"Redmi 8A (Sunset Red, 32 GB)","7,499"
"Redmi 6 (Gold, 64 GB)","8,499"
"Redmi Note 4 (Dark Grey, 32 GB)","10,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi 4A (Gold, 32 GB)","6,999"
"Redmi Note 7S (Astro Moonlight White, 64 GB)","11,999"
"Redmi Y1 (Grey, 32 GB)","8,999"
"Redmi 7 (Comet Blue, 32 GB)","7,197"
"Redmi 5 (Rose Gold, 64 GB)","8,490"
"Redmi 5 (Lake Blue, 16 GB)","6,890"
"Redmi 5 (Rose Gold, 32 GB)","8,199"
"Redmi 5 (Gold, 16 GB)","7,150"
"Redmi 5 (Black, 32 GB)","8,149"
"Redmi 5 (Rose Gold, 16 GB)","7,150"
"Redmi 5 (Lake Blue, 32 GB)","7,698"
"Redmi 5 (Black, 16 GB)","7,250"
"Redmi Note 7S (Ruby Red, 32 GB)","9,999"
"Redmi K20 Pro (Glacier Blue, 256 GB)","29,999"
"Mi Max 2 (Black, 64 GB)","16,999"
"Redmi 3S (Silver, 16 GB)","6,999"
"Redmi 6A (Rose Gold, 16 GB)","5,698"
"Redmi 7A (Matte Gold, 32 GB)","6,699"
"Redmi Note 7S (Astro Moonlight White, 32 GB)","9,999"
"Mi 4i (Grey, 16 GB)","9,999"
"Redmi 1S (Metal Gray, 8 GB)","5,999"
"Redmi 4A (Dark Grey, 32 GB)","6,999"
"Redmi 4 (Black, 16 GB)","7,499"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi 6A (Gold, 16 GB)","5,589"
"Redmi 2 Prime (Grey, 16 GB)","6,999"
"Redmi 2 Prime (White, 16 GB)","6,999"
"Redmi Go (Blue, 8 GB)","4,499"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","11,999"
"Redmi K20 (Pearl White, 64 GB)","21,999"
"Redmi 6A (Black, 16 GB)","5,745"
"Redmi 9 Prime (SunriseFlare, 64 GB)","11,999"
"Redmi 9 Prime (MatteBlack, 128 GB)","13,999"
"Redmi 9 Prime (Space Blue, 64 GB)","11,999"
"Redmi 9 Prime (SunriseFlare, 128 GB)","13,999"
"Redmi 9 Prime (MintGreen, 64 GB)","11,999"
"Redmi 9 Prime (MintGreen, 128 GB)","13,999"
"Redmi 9 Prime (Space Blue, 128 GB)","13,999"
"Redmi Note 5 Pro (Black, 64 GB)","12,999"
"Redmi Y2 (Gold, 32 GB)","7,999"
"Redmi Y1 lite (Rose Gold, 16 GB)","7,999"
"Redmi 5A (Rose Gold, 32 GB)","6,999"
"Redmi Y1 lite (Grey, 16 GB)","7,899"
"Mi Max (Silver, 32 GB)","14,999"
"Mi Max (Dark Grey, 32 GB)","14,999"
"Mi 4i (Grey, 32 GB)","14,999"
"Mi 5 (White, 32 GB)","24,999"
"Redmi 3S (Dark Grey, 16 GB)","6,999"
"Mi 4i (Blue, 16 GB)","11,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Mi Max (Gold, 32 GB)","14,999"
"Mi 5 (Gold, 32 GB)","24,999"
"Mi 5 (Black, 32 GB)","24,999"
"Redmi 6 (Black, 64 GB)","8,499"
"Redmi 5 (Gold, 64 GB)","8,980"
"Redmi Y1 (Gold, 64 GB)","9,990"
"MI4 (White, 16 GB)","14,999"
"Mi A2 (Black, 64 GB)","10,599"
"Redmi 6 (Blue, 32 GB)","7,999"
"Redmi Y2 (Black, 64 GB)","8,499"
"Redmi 6 Pro (Lake Blue, 64 GB)","8,820"
"Redmi Note 4 (Gold, 32 GB)","10,999"
"Mi A1 (Black, 64 GB)","14,999"
"Redmi 5A (Grey, 16 GB)","6,499"
"Redmi 5A (Grey, 32 GB)","6,999"
"Redmi 6 Pro (Gold, 64 GB)","9,150"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","13,999"
"Mi 4i (Yellow, 16 GB)","9,999"
"Redmi 4 (Black, 64 GB)","11,999"
"Redmi 4 (Gold, 64 GB)","11,999"
"Mi 4i (Yellow, 16 GB)","9,999"
"Mi A1 (Gold, 64 GB)","14,999"
"Mi A1 (Rose Gold, 64 GB)","14,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi Note 4 (Lake Blue, 64 GB)","12,999"
"Mi 4i (White, 16 GB)","7,990"
"Mi A1 (Red, 64 GB)","14,999"
"Redmi 6 (Blue, 64 GB)","8,499"
"Mi A2 (Black, 128 GB)","11,999"
"Mi A2 (Red, 64 GB)","14,990"
"Redmi 4 (Gold, 32 GB)","8,999"
"Redmi Note 5 (Rose Gold, 64 GB)","13,500"
"Redmi Note 7 (Ruby Red, 32 GB)","12,990"
"Redmi Note 9 (Scralet Red, 128 GB)","17,990"
"Redmi 6 (Rose Gold, 64 GB)","8,499"
"Redmi 3S (Gold, 16 GB)","6,999"
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","19,999"
"Redmi 6 (Black, 32 GB)","7,999"
"Redmi Note 9 (Aqua Green, 128 GB)","17,480"
"Redmi Y2 (Rose Gold, 32 GB)","8,689"
"Redmi Note 3 (Gold, 32 GB)","11,999"
"Redmi 6 (Gold, 32 GB)","7,999"
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","19,999"
"Redmi Note 5 (Gold, 64 GB)","12,499"
"Redmi Y1 (Gold, 32 GB)","8,999"
"Redmi Note 5 Pro (Blue, 64 GB)","11,501"
"Mi A2 (Blue/Lake Blue, 64 GB)","14,990"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","15,990"
"Redmi 6 Pro (Black, 32 GB)","11,299"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,999"
"Redmi 6 Pro (Black, 64 GB)","7,900"
"Redmi Note 4 (Black, 64 GB)","13,900"
"Redmi Note 4 (Dark Grey, 64 GB)","14,990"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","20,890"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","15,990"
"Redmi Note 5 (Black, 32 GB)","10,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,749"
"Mi A2 (Rose Gold, 64 GB)","17,000"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","16,500"
"Redmi Note 7 Pro (Space Black, 64 GB)","15,999"
"Redmi 9 Prime (MatteBlack, 64 GB)","11,999"
"Redmi Note 7 (Ruby Red, 64 GB)","14,900"
